logcreationtime 1478066232256
sequence	Red	Red	Red	Red
room	RoomB2	Red
room	RoomB1
room	RoomA2	Red
room	RoomA1	Red	Red
action 	1478066255937	officer3	goTo(FrontRoomB1)
action 	1478066256296	officer1	goTo(FrontRoomA2)
action 	1478066256452	officer2	goTo(FrontRoomA1)
action 	1478066257763	feye2	goTo(RoomB1)
action 	1478066257794	officer3	goTo(FrontRoomB2)
action 	1478066258449	medic1	goTo(RoomB1)
action 	1478066258496	officer3	goTo(FrontRoomA2)
action 	1478066258589	feye3	goTo(RoomB2)
action 	1478066258995	officer2	goTo(FrontRoomB1)
action 	1478066259026	feye1	goTo(RoomA1)
action 	1478066259697	feye4	goTo(RoomA2)
action 	1478066259759	officer1	goTo(FrontRoomA1)
action 	1478066260762	officer1	goTo(FrontRoomB1)
action 	1478066261270	officer2	goTo(FrontRoomA2)
action 	1478066261613	officer3	goTo(FrontRoomA1)
action 	1478066261793	feye3	goTo(LeftHallC)
action 	1478066262058	feye3	goTo(LeftHallC)
action 	1478066262354	officer1	goTo(FrontRoomB2)
action 	1478066262698	feye2	goTo(LeftHallC)
action 	1478066262854	feye2	goTo(LeftHallC)
action 	1478066263025	medic3	goTo(RoomA1)
action 	1478066263181	medic1	goTo(RoomB2)
action 	1478066263244	officer2	goTo(FrontRoomB1)
action 	1478066263259	officer1	goTo(FrontRoomB1)
action 	1478066263509	feye1	goTo(LeftHallC)
action 	1478066263540	feye1	goTo(LeftHallC)
action 	1478066264117	medic2	goTo(RoomA2)
action 	1478066264523	officer1	goTo(FrontRoomA2)
action 	1478066264741	officer3	goTo(FrontRoomA2)
action 	1478066264804	medic1	goTo(RoomB1)
action 	1478066265350	officer2	goTo(FrontRoomA2)
action 	1478066265662	feye4	goTo(LeftHallC)
action 	1478066265693	feye4	goTo(LeftHallC)
action 	1478066267034	medic3	goTo(RoomB1)
action 	1478066267346	medic1	goTo(RoomA1)
action 	1478066270880	medic2	goTo(DropZone)
action 	1478066271148	medic3	goTo(DropZone)
action 	1478066272446	medic1	goToBlock(24)
action 	1478066272462	medic1	goToBlock(24)
action 	1478066272727	medic1	goToBlock(24)
action 	1478066273008	medic1	pickUp
action 	1478066273492	medic1	goTo(DropZone)
action 	1478066273523	medic3	goTo(FrontDropZone)
action 	1478066274804	medic3	goTo(DropZone)
action 	1478066275163	medic2	goTo(DropZone)
action 	1478066275772	medic3	goTo(FrontDropZone)
action 	1478066277177	medic1	putDown
action 	1478066277193	medic1	goTo(RightHallC)
action 	1478066277349	medic3	goTo(DropZone)
action 	1478066277583	medic2	goTo(DropZone)
action 	1478066278266	medic3	goTo(FrontDropZone)
action 	1478066279580	medic3	goTo(DropZone)
action 	1478066280190	medic1	goTo(DropZone)
action 	1478066280268	medic2	goTo(DropZone)
action 	1478066280331	medic3	goTo(FrontDropZone)
action 	1478066281064	medic2	goTo(FrontDropZone)
action 	1478066282281	medic3	goTo(DropZone)
action 	1478066282312	medic1	goTo(DropZone)
action 	1478066283123	medic3	goTo(FrontDropZone)
action 	1478066283248	medic2	goTo(DropZone)
action 	1478066284044	medic2	goTo(FrontDropZone)
action 	1478066284293	medic1	goTo(DropZone)
action 	1478066284964	medic3	goTo(DropZone)
action 	1478066285229	medic1	goTo(FrontDropZone)
action 	1478066286215	medic2	goTo(DropZone)
action 	1478066286792	medic3	goTo(DropZone)
action 	1478066287057	medic2	goTo(FrontDropZone)
action 	1478066287229	medic1	goTo(DropZone)
action 	1478066288025	medic1	goTo(FrontDropZone)
action 	1478066288555	medic3	goTo(DropZone)
action 	1478066289039	medic2	goTo(DropZone)
action 	1478066289382	medic3	goTo(FrontDropZone)
action 	1478066290427	medic1	goTo(DropZone)
action 	1478066290599	medic3	goTo(DropZone)
action 	1478066291113	medic2	goTo(DropZone)
action 	1478066291519	medic1	goTo(FrontDropZone)
action 	1478066292552	medic3	goTo(DropZone)
action 	1478066293082	medic2	goTo(DropZone)
action 	1478066293441	medic3	goTo(FrontDropZone)
action 	1478066293550	medic1	goTo(DropZone)
action 	1478066294362	medic1	goTo(FrontDropZone)
action 	1478066295189	medic2	goTo(DropZone)
action 	1478066295333	medic3	goTo(DropZone)
action 	1478066295396	medic1	goTo(DropZone)
action 	1478066296176	medic2	goTo(FrontDropZone)
action 	1478066296983	medic2	goTo(DropZone)
action 	1478066297295	medic1	goTo(DropZone)
action 	1478066297326	medic3	goTo(DropZone)
action 	1478066297748	medic2	goTo(FrontDropZone)
action 	1478066299276	medic1	goTo(DropZone)
action 	1478066299417	medic3	goTo(DropZone)
action 	1478066299635	medic2	goTo(DropZone)
action 	1478066300088	medic1	goTo(FrontDropZone)
action 	1478066301164	medic1	goTo(DropZone)
action 	1478066301304	medic3	goTo(DropZone)
